,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted
27,Cat,12,Domestic Long Hair,Female,Gray,No Color,Medium,Long,No,No,Healthy,0,5,Yes
28,Cat,2,Domestic Medium Hair,Female,Brown,No Color,Small,Medium,No,No,Healthy,0,3,Yes
29,Dog,12,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,4,Yes
30,Dog,12,Mixed Breed,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes
31,Cat,2,Domestic Medium Hair,Female,White,No Color,Medium,Medium,No,No,Healthy,0,13,Yes
32,Dog,5,Jack Russell Terrier,Male,White,No Color,Medium,Short,Yes,Yes,Healthy,0,6,Yes
33,Dog,12,Mixed Breed,Male,Brown,White,Medium,Medium,No,Yes,Healthy,0,2,No
34,Cat,5,Domestic Medium Hair,Male,Yellow,White,Small,Long,Yes,No,Healthy,0,13,Yes
35,Dog,72,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,3,No
36,Cat,60,Domestic Long Hair,Male,Black,Brown,Large,Long,Yes,Yes,Healthy,0,3,Yes
37,Cat,6,Domestic Short Hair,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,100,1,No
38,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,3,Yes
39,Dog,3,Mixed Breed,Female,Brown,White,Small,Short,Not Sure,Not Sure,Minor Injury,0,0,Yes
40,Cat,5,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,30,4,No
41,Dog,24,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,2,Yes
42,Dog,4,Mixed Breed,Male,Cream,No Color,Large,Medium,No,No,Healthy,0,3,Yes
43,Cat,1,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,No,No,Healthy,0,5,Yes
44,Dog,9,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,Not Sure,Healthy,0,2,No
45,Dog,60,Mixed Breed,Female,Brown,Cream,Medium,Short,No,Yes,Healthy,0,2,No
46,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,5,Yes
47,Dog,48,Shih Tzu,Female,Brown,Cream,Medium,Medium,Yes,No,Healthy,0,5,Yes
48,Cat,3,Domestic Short Hair,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,No
49,Cat,9,Domestic Short Hair,Female,Brown,White,Medium,Short,No,No,Healthy,0,1,Yes
50,Dog,62,Mixed Breed,Male,Black,Golden,Medium,Medium,Yes,Yes,Healthy,0,3,No
51,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes
52,Dog,2,Labrador Retriever,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,5,Yes
53,Dog,2,Mixed Breed,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,3,No
54,Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,1,Yes
55,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,3,Yes
56,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes
57,Dog,1,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,1,Yes
58,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,No
59,Dog,3,Silky Terrier,Male,Black,Brown,Small,Long,Yes,Not Sure,Healthy,750,2,Yes
60,Dog,3,Mixed Breed,Male,Black,White,Medium,Medium,No,No,Healthy,0,1,Yes
61,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,3,Yes
62,Cat,6,Domestic Medium Hair,Female,Cream,White,Medium,Medium,No,No,Healthy,50,4,Yes
63,Cat,47,Bombay,Female,Black,Brown,Medium,Long,No,No,Healthy,0,2,No
64,Dog,2,Rottweiler,Male,Black,Brown,Large,Medium,Not Sure,Not Sure,Healthy,0,4,Yes
65,Dog,12,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,11,Yes
66,Dog,2,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,18,Yes
67,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,5,Yes
68,Cat,24,Domestic Short Hair,Male,Yellow,No Color,Large,Short,No,No,Minor Injury,0,12,Yes
69,Cat,24,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,Yes,Healthy,0,1,No
70,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
71,Cat,19,Persian,Female,Black,Gray,Large,Long,Yes,No,Healthy,0,3,Yes
72,Dog,4,Silky Terrier,Female,Brown,No Color,Small,Long,Not Sure,Yes,Healthy,0,3,Yes
73,Dog,24,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,3,Yes
74,Cat,3,Domestic Medium Hair,Male,Black,White,Medium,Medium,Not Sure,No,Healthy,0,1,Yes
75,Dog,24,Husky,Female,Black,Gray,Medium,Medium,Not Sure,Yes,Healthy,0,2,Yes
76,Dog,60,Schnauzer,Male,Gray,No Color,Medium,Medium,Yes,Yes,Healthy,0,3,No
77,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,Yes
78,Cat,3,Domestic Short Hair,Female,Brown,Golden,Small,Short,Yes,No,Healthy,0,7,Yes
79,Cat,2,Domestic Medium Hair,Male,Golden,No Color,Small,Medium,No,No,Healthy,0,2,Yes
80,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
81,Cat,2,Domestic Short Hair,Female,Gray,White,Medium,Short,No,No,Healthy,0,2,Yes
82,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,4,No
83,Cat,4,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,5,Yes
84,Dog,120,Mixed Breed,Male,Black,Brown,Large,Short,Not Sure,Not Sure,Healthy,0,3,No
85,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,4,No
86,Dog,36,Golden Retriever,Female,Brown,Golden,Large,Medium,Yes,No,Healthy,0,4,Yes
87,Cat,3,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,3,No
88,Cat,60,Persian,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,0,No
89,Cat,1,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,Not Sure,Healthy,0,4,Yes
90,Dog,36,Rottweiler,Male,Black,Cream,Large,Short,Yes,Yes,Healthy,0,4,Yes
91,Dog,12,Siberian Husky,Male,Black,Gray,Medium,Medium,Yes,No,Healthy,400,1,Yes
92,Cat,1,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,0,1,Yes
93,Dog,5,Collie,Male,Cream,White,Medium,Short,Yes,Yes,Healthy,0,6,Yes
94,Dog,24,German Shepherd Dog,Female,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,3,Yes
95,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,3,Yes
96,Dog,4,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,5,No
97,Cat,8,Siamese,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,50,8,Yes
98,Cat,12,Domestic Medium Hair,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
99,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,10,Yes
100,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,3,Yes
101,Cat,7,Calico,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,7,Yes
102,Cat,5,Domestic Long Hair,Male,Yellow,No Color,Medium,Long,No,No,Healthy,100,5,Yes
103,Dog,60,American Staffordshire Terrier,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,2,Yes
104,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes
105,Cat,17,Domestic Short Hair,Female,Black,Brown,Small,Short,Not Sure,Yes,Healthy,0,3,Yes
106,Dog,48,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,Yes
107,Dog,4,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,2,Yes
108,Cat,12,Turkish Van,Female,Golden,Cream,Medium,Medium,Not Sure,Yes,Healthy,0,2,Yes
109,Cat,12,Persian,Male,Black,White,Large,Long,No,No,Healthy,0,2,Yes
110,Cat,3,Domestic Short Hair,Female,Gray,White,Medium,Short,Yes,No,Healthy,0,3,Yes
111,Dog,36,Doberman Pinscher,Female,Black,Brown,Large,Medium,Not Sure,Not Sure,Minor Injury,0,4,Yes
112,Dog,12,Mixed Breed,Female,Cream,White,Medium,Short,Not Sure,Not Sure,Healthy,0,1,No
113,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,80,1,No
114,Dog,36,Doberman Pinscher,Male,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes
115,Cat,1,Oriental Short Hair,Female,Yellow,White,Small,Short,No,No,Healthy,0,3,Yes
116,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,4,Yes
117,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,4,Yes
118,Dog,1,Mixed Breed,Female,Brown,Cream,Large,Short,Not Sure,Not Sure,Healthy,0,2,Yes
119,Cat,2,Domestic Short Hair,Female,Black,Cream,Medium,Short,No,No,Healthy,0,3,Yes
120,Cat,2,Siamese,Male,Brown,Cream,Small,Short,No,No,Healthy,0,1,Yes
121,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,80,9,Yes
122,Cat,3,Domestic Short Hair,Male,Yellow,No Color,Medium,Short,Not Sure,No,Healthy,0,3,No
123,Dog,17,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,Yes,Healthy,150,1,No
124,Cat,48,Tabby,Male,Black,Brown,Large,Short,Yes,No,Healthy,20,4,Yes
125,Cat,1,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
126,Cat,5,Domestic Short Hair,Female,Black,White,Medium,Medium,No,No,Healthy,150,4,Yes
127,Dog,8,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Yes,Healthy,0,3,Yes
128,Dog,4,Mixed Breed,Female,White,No Color,Small,Short,Yes,Yes,Healthy,0,2,No
129,Dog,3,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,3,Yes
130,Cat,72,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,10,No
131,Dog,12,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,2,No
132,Dog,22,Beagle,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,0,Yes
133,Dog,36,Mixed Breed,Male,Golden,No Color,Medium,Medium,Not Sure,No,Healthy,0,3,No
134,Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,1,Yes
135,Dog,12,Mixed Breed,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes
136,Dog,7,Mixed Breed,Male,Black,White,Small,Short,No,No,Healthy,50,1,No
137,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes
138,Dog,24,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,24,No
139,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Long,No,No,Healthy,0,3,Yes
140,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,Yes
141,Cat,5,Domestic Short Hair,Male,Black,White,Small,Short,Yes,Not Sure,Healthy,0,4,No
142,Dog,16,Shih Tzu,Female,Cream,White,Small,Short,Yes,Not Sure,Healthy,0,3,Yes
143,Cat,2,Domestic Short Hair,Male,Golden,Cream,Medium,Short,Yes,No,Healthy,0,5,Yes
144,Cat,2,Domestic Medium Hair,Male,Cream,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,6,No
145,Dog,7,Shih Tzu,Male,Brown,No Color,Medium,Short,Yes,Not Sure,Healthy,0,8,Yes
146,Cat,13,Domestic Short Hair,Female,Brown,Golden,Medium,Short,No,No,Healthy,0,5,No
147,Dog,3,Mixed Breed,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,3,Yes
148,Dog,12,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,No
149,Cat,3,Domestic Short Hair,Male,Black,White,Small,Short,Yes,No,Healthy,0,9,Yes
150,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,No
151,Cat,10,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,Yes,Yes,Healthy,0,8,Yes
152,Dog,2,Mixed Breed,Female,Yellow,Cream,Medium,Short,No,No,Healthy,0,5,Yes
153,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
154,Cat,4,Domestic Short Hair,Female,Black,Brown,Large,Short,No,No,Healthy,0,8,Yes
155,Dog,60,Golden Retriever,Male,Brown,Yellow,Medium,Medium,Yes,Yes,Healthy,0,5,Yes
156,Cat,12,Domestic Short Hair,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,2,No
157,Cat,2,Domestic Short Hair,Female,Black,Yellow,Small,Short,No,No,Healthy,0,5,Yes
158,Cat,6,Domestic Short Hair,Female,Golden,White,Medium,Short,No,Yes,Healthy,0,5,No
159,Dog,3,Mixed Breed,Female,Black,Brown,Large,Short,Not Sure,No,Healthy,0,2,Yes
160,Dog,1,Mixed Breed,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,4,Yes
161,Cat,3,Domestic Medium Hair,Male,Yellow,White,Medium,Medium,No,No,Healthy,50,3,Yes
162,Dog,19,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,80,3,No
163,Cat,11,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,50,5,No
164,Dog,37,Mixed Breed,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,5,No
165,Cat,4,Ragdoll,Female,Black,White,Small,Long,No,Not Sure,Healthy,250,3,Yes
166,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Short,No,Yes,Healthy,0,6,Yes
167,Dog,6,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,1,Yes
168,Cat,1,Domestic Short Hair,Female,Golden,Cream,Medium,Short,No,No,Healthy,0,7,Yes
169,Dog,5,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,0,No
170,Cat,7,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,2,Yes
171,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,1,1,No
172,Cat,1,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,0,0,No
173,Dog,48,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes
174,Dog,3,Cocker Spaniel,Female,Brown,No Color,Small,Short,No,No,Healthy,0,3,Yes
175,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,Yes
176,Cat,4,Domestic Short Hair,Male,Yellow,White,Small,Short,Yes,Not Sure,Healthy,0,5,Yes
177,Dog,22,Shih Tzu,Female,Cream,White,Medium,Short,Yes,No,Healthy,0,3,Yes
178,Dog,60,Poodle,Female,Brown,No Color,Small,Long,Yes,Yes,Healthy,0,3,Yes
179,Dog,3,Black Labrador Retriever,Male,Black,No Color,Medium,Short,Not Sure,No,Healthy,0,2,Yes
180,Cat,4,Domestic Medium Hair,Female,Cream,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,Yes
181,Cat,13,Persian,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,0,3,Yes
182,Cat,1,Domestic Short Hair,Male,Black,White,Small,Short,Not Sure,Not Sure,Healthy,0,1,Yes
183,Dog,5,Labrador Retriever,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,8,Yes
184,Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,12,Yes
185,Dog,2,Jack Russell Terrier,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,9,Yes
186,Dog,36,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes
187,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,No
188,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,4,Yes
189,Cat,2,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,3,Yes
190,Cat,8,Tabby,Male,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes
191,Cat,2,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,0,4,Yes
192,Cat,9,Tabby,Female,Brown,Cream,Small,Short,Yes,Yes,Healthy,0,3,Yes
193,Cat,6,Domestic Short Hair,Female,Gray,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,4,Yes
194,Dog,18,Beagle,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,10,Yes
195,Dog,14,Mixed Breed,Male,Brown,No Color,Large,Medium,Yes,Yes,Healthy,0,3,Yes
196,Cat,2,Domestic Short Hair,Male,White,No Color,Medium,Short,No,No,Healthy,0,2,Yes
197,Cat,12,Bengal,Male,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,1,No
198,Cat,12,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,Yes,Healthy,0,1,No
199,Dog,1,Collie,Female,Black,Cream,Medium,Short,No,No,Healthy,0,5,Yes
200,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,2,Yes
201,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes
202,Dog,3,Mixed Breed,Male,Cream,White,Medium,Medium,No,No,Healthy,0,4,Yes
203,Cat,6,Domestic Short Hair,Female,Yellow,No Color,Small,Short,Yes,Yes,Healthy,200,6,No
204,Cat,3,Siamese,Male,Black,White,Small,Short,No,No,Healthy,0,1,Yes
205,Dog,3,Mixed Breed,Male,Brown,No Color,Large,Short,No,Not Sure,Healthy,0,3,Yes
206,Dog,24,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Minor Injury,20,2,No
207,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,Yes
208,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,250,13,Yes
209,Dog,2,Mixed Breed,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes
210,Dog,7,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes
211,Cat,3,Domestic Long Hair,Male,Black,Golden,Small,Long,No,No,Healthy,150,3,Yes
212,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,2,Yes
213,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,9,Yes
214,Dog,55,Beagle,Male,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,5,Yes
215,Dog,2,Shar Pei,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,Yes
216,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,Yes
217,Dog,36,Spitz,Female,Golden,Cream,Medium,Medium,Not Sure,Yes,Healthy,0,9,Yes
218,Cat,1,Domestic Medium Hair,Female,Black,Yellow,Medium,Long,No,No,Healthy,0,10,Yes
219,Cat,6,Siamese,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,3,No
220,Cat,6,Domestic Medium Hair,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,3,Yes
221,Cat,4,Bengal,Male,Brown,No Color,Medium,Medium,No,No,Minor Injury,0,4,Yes
222,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,3,Yes
223,Dog,5,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,Yes
224,Cat,20,Domestic Medium Hair,Male,Black,Gray,Large,Medium,No,No,Healthy,0,4,Yes
225,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,6,Yes
226,Dog,7,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,Not Sure,Healthy,0,1,Yes
227,Cat,1,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,6,Yes
228,Dog,1,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes
229,Cat,28,Birman,Male,Black,No Color,Large,Long,Yes,No,Healthy,0,5,Yes
230,Dog,24,Belgian Shepherd Malinois,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,250,9,No
231,Dog,12,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,Yes,Healthy,0,0,No
232,Cat,4,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,No
233,Dog,2,Mixed Breed,Female,Black,Golden,Medium,Medium,Yes,No,Healthy,0,4,Yes
234,Cat,2,Domestic Medium Hair,Male,Yellow,No Color,Small,Short,Yes,No,Healthy,0,5,Yes
235,Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,1,No
236,Dog,5,Beagle,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,300,1,Yes
237,Cat,22,Domestic Medium Hair,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,7,No
238,Cat,36,Domestic Short Hair,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,4,No
239,Dog,36,Spitz,Female,White,No Color,Medium,Medium,Yes,Yes,Healthy,0,2,Yes
240,Dog,8,Mixed Breed,Male,Yellow,No Color,Medium,Short,Yes,No,Healthy,0,2,No
241,Dog,10,Mixed Breed,Female,White,No Color,Medium,Short,No,Yes,Healthy,0,2,No
242,Dog,2,Mixed Breed,Female,Brown,Yellow,Medium,Short,No,No,Healthy,0,4,No
243,Cat,2,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,0,4,No
244,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,2,No
245,Dog,3,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,2,Yes
246,Dog,60,Shih Tzu,Female,Black,White,Small,Medium,Not Sure,Yes,Healthy,0,1,Yes
247,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes
248,Cat,12,Domestic Medium Hair,Male,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,2,Yes
249,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes
250,Dog,1,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
251,Dog,24,Mixed Breed,Female,White,No Color,Large,Short,Not Sure,Yes,Minor Injury,0,2,No
252,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,200,6,No
253,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,7,Yes
254,Cat,12,Domestic Medium Hair,Male,Black,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,1,No
255,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,1,No
256,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes
257,Cat,11,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,11,Yes
258,Dog,74,Shih Tzu,Male,Brown,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,2,Yes
259,Dog,36,Terrier,Female,Brown,Golden,Medium,Long,Yes,Yes,Healthy,0,3,Yes
260,Dog,3,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,3,Yes
261,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,6,Yes
262,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,4,Yes
